frame,iou,dice,gt_px,pred_px,latency_s
00069,0.15123966942148762,0.26274228284278534,1142,251,0.4102166260126978
00070,0.09117647058823529,0.16711590296495957,143,228,0.409053732000757
00071,0.4983099951714148,0.6651627457299387,2978,3228,0.4112730309716426
00072,0.4662576687116564,0.6359832635983264,233,245,0.41102367197163403
00073,0.5200400801603207,0.6842452208305867,777,740,0.40940128202782944
00074,0.36475998850244323,0.5345408593091828,2663,2085,0.3960401940275915
00075,0.5478446234012316,0.7078806426931905,2868,3667,0.41440101800253615
00076,0.0,0.0,437,0,0.4011921309866011
00077,0.3545983701979045,0.5235476108628395,3175,2643,0.4090824220329523
00078,0.5235284472864404,0.6872578562204047,4035,5257,0.40991414501331747
00079,0.0,0.0,42,0,0.4077287249965593
00080,0.5544666415378816,0.7133850630455868,2121,2003,0.4029248200240545
00081,0.15625,0.2702702702702703,104,44,0.4069279479444958
00082,0.16160388821385177,0.27824267782426776,791,165,0.3959620979730971
00083,0.5617491590581452,0.7193846153846154,1699,1551,0.40992099698632956
00084,0.3237250554323725,0.48911222780569513,750,444,0.40689415903761983
00085,0.0,0.0,353,0,0.39524102595169097
00086,0.49714285714285716,0.6641221374045801,2702,2800,0.3956210800097324
00087,0.48298816568047337,0.6513715710723192,1911,2099,0.41657450201455504
00088,0.0,0.0,325,0,0.40733172796899453
00089,0.0,0.0,72,0,0.39196090202312917
00090,0.34097035040431267,0.5085427135678392,603,392,0.4056942510069348
00091,0.0,0.0,76,0,0.411375992000103
00092,0.2724795640326976,0.4282655246252677,1814,1455,0.4126614449778572
00093,0.43451864700780574,0.6058041112454655,1431,1877,0.391575827030465
00094,0.12012012012012012,0.21447721179624665,975,144,0.39778960996773094
00095,0.11856474258970359,0.21199442119944212,930,504,0.4014528290135786
00096,0.5367749651185968,0.6985732814526588,3619,4091,0.4055686370120384
00097,0.0,0.0,480,0,0.3984380049514584
00098,0.0,0.0,20,0,0.40443623199826106
00099,0.4859640734922478,0.6540724397867255,9665,12091,0.41109268000582233
00100,0.347156605424322,0.5153916092999091,2765,4934,0.4027275939588435
00102,0.4461841457410143,0.6170502519406237,12465,16907,0.42269437096547335
00103,0.4683188865828348,0.6378980626922757,4635,7392,0.3944472779985517
00104,0.3206442166910688,0.48558758314855877,350,552,0.4019279250060208
00105,0.40346648301193755,0.5749570622393064,4440,7787,0.40706475399201736
00106,0.2986577181208054,0.4599483204134367,253,134,0.40039889799663797
00107,0.5933979047242538,0.7448207418434437,4037,4024,0.4040347450063564
00108,0.0451527224435591,0.08640406607369759,675,112,0.40159474400570616
00109,0.5647921760391198,0.721875,3578,4742,0.3911163309821859
00110,0.5948491255045166,0.7459628826223186,10608,14286,0.41160247096559033
00111,0.4649050371593724,0.6347237880496054,4257,6387,0.4089899120153859
00112,0.35681024447031434,0.525954525954526,900,1431,0.4052454789634794
00114,0.20422535211267606,0.3391812865497076,1023,516,0.3891693559708074
00115,0.07670720299345182,0.1424847958297133,1024,127,0.39648702199338004
00116,0.21019108280254778,0.3473684210526316,178,202,0.40880623704288155
00117,0.6220600162206001,0.767,3698,4302,0.39506226900266483
00118,0.4154000573558933,0.5869719380002026,9418,10324,0.41382677300134674
00119,0.6795016987542469,0.8091706001348618,2119,2330,0.40011829702416435
00120,0.4480777728678745,0.618858712236802,2615,3939,0.39384378399699926
00121,0.4878048780487805,0.6557377049180327,23,38,0.42343143600737676
00122,0.4237875288683603,0.5952960259529603,2011,1688,0.40178636595373973
00123,0.5150617283950617,0.6799217731421121,1446,1622,0.39337666402570903
00124,0.23255813953488372,0.37735849056603776,212,53,0.40247466700384393
